"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ParlonsFoot237: OFFICIEL ! Henan Jianye, le club de C. Bassogog <ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00B2> a annoncé la résiliation du contrat de son entraîneur principal Drag…",FALSE,0,NA,2018-04-21 08:18:57,FALSE,NA,"987606601791168513",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Komolll",8,TRUE,FALSE,NA,NA
"RT @Exist_Solutions: Expertise in Tableau software is quickly becoming one of the skills that anyone can acquire with the proper dedication…",FALSE,0,NA,2018-04-21 08:15:05,FALSE,NA,"987605630193037314",NA,"<a href=""https://www.gamer-geek-news.com/"" rel=""nofollow"">RssToTwitterPy3</a>","GamerGeekNews",1,TRUE,FALSE,NA,NA
"RT @Pokhara8: <ed><U+00A0><U+00BE><ed><U+00B5><U+0091>#Naturemorte mais bien vivante <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>#fruit #légume #tableau #peinture (je vous rassure, je ne l'ai pas peinte <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>). https://t.co/4…",FALSE,0,NA,2018-04-21 08:15:05,FALSE,NA,"987605627546435585",NA,"<a href=""https://www.gamer-geek-news.com/"" rel=""nofollow"">RssToTwitterPy3</a>","GamerGeekNews",1,TRUE,FALSE,NA,NA
"RT @jmroguier: #Sphérisations - The Eyes
.
.
.
.
#art #artphoto #modernart #Kaleidoscope #puzzle #expo #exposition #galeriephotos #photogra…",FALSE,0,NA,2018-04-21 08:15:04,FALSE,NA,"987605625046646784",NA,"<a href=""https://www.gamer-geek-news.com/"" rel=""nofollow"">RssToTwitterPy3</a>","GamerGeekNews",1,TRUE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 08:14:30,FALSE,NA,"987605483635793921",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blvckgun",210,TRUE,FALSE,NA,NA
"@P_TARISSI @OuzouliasP J'en aurais volontiers débattu, mais j'aurais plutôt besoin de votre aide pour faire une ana… https://t.co/Zk1BjvVqpn",FALSE,0,"P_TARISSI",2018-04-21 08:14:23,TRUE,"987402949298188288","987605452769853440","2399936364","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JulienGossa",0,FALSE,FALSE,NA,NA
"@cahlberg @nadabakos And Palantir has probably another architecture than Tableau, Splunk, Spotfire, SAS... Palantir… https://t.co/BCsLpiGJ1D",FALSE,0,"asknbid",2018-04-21 08:13:38,TRUE,"987604509403828224","987605264160514048","314575393","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","asknbid",0,FALSE,FALSE,NA,NA
"#JeSoutiensLaGreveDesCheminots tous salariés tous concerné 
@johan_sncf @chloe_sncf @RomainBaralon @wallygatore07… https://t.co/MnlqLGCGOM",FALSE,2,NA,2018-04-21 08:11:17,TRUE,NA,"987604674084732928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_Laurent_Setti",1,FALSE,FALSE,NA,NA
"RT @maximeeegrt: Et l'OM a le milliardaire américain qui leur a permis de revenir dans la première partie de tableau et de racheter un de l…",FALSE,0,NA,2018-04-21 08:10:31,FALSE,NA,"987604481494876160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","flrrousseau",210,TRUE,FALSE,NA,NA
"RT @Juampi_HWJ: Soulever les montagnes ? Aucune victoire contre le trio de tete ni Montpellier... seul fait d'arme une victoire contre Leip…",FALSE,0,NA,2018-04-21 08:08:35,FALSE,NA,"987603994771120128",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imrane_TKD",50,TRUE,FALSE,NA,NA
"@asknbid @nadabakos Not a bad idea, but the numbers doesn't support it I'm pretty sure. You could probably try to a… https://t.co/ri45hx704F",FALSE,0,"asknbid",2018-04-21 08:08:30,TRUE,"987603006802878465","987603972440588289","314575393","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cahlberg",0,FALSE,FALSE,NA,NA
"Rien n’est encore joué à cinq journées de la fin du championnat La 26e journée du championnat national de football… https://t.co/Jz9SNHslZu",FALSE,0,NA,2018-04-21 08:08:23,TRUE,NA,"987603941843197952",NA,"<a href=""http://www.wmaker.net"" rel=""nofollow"">WMaker</a>","LiberationMaroc",0,FALSE,FALSE,NA,NA
"Botola Pro 2 : Suspense garanti à tous les étages L’échelon inférieur est en ébullition. Dans cette 28ème journée d… https://t.co/ZMI0MKk9mS",FALSE,0,NA,2018-04-21 08:08:19,TRUE,NA,"987603925498040326",NA,"<a href=""http://www.wmaker.net"" rel=""nofollow"">WMaker</a>","LiberationMaroc",0,FALSE,FALSE,NA,NA
"@AntonwaneAnton1 @mohasoi Hormis Bilbao qui est à peu près équivalent grâce à son championnat. Mais qui fait partie… https://t.co/xlGeFD9uWm",FALSE,0,"BillouBoy",2018-04-21 08:08:16,TRUE,"987602868747239424","987603914928291840","2156159513","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BillouBoy",0,FALSE,FALSE,NA,NA
